LimitedTime,Reduction,ActualLimitReduction,DischargeLimit,PriceTime,Status,BaselinePrice,Price,Charge,Discharge,Thermal,Renewable,SOC,TerminalSOC,Objective,ObjectiveChange
2,5.623413251903491e-6,5.62341325860416e-6,89.99999437658674,1,OPTIMAL,43.1,-0.0,99.99999375176304,0.0,0.0,199.99999375176304,359.99997750634697,0.0,19448.889966084935,0.001077196044207085
2,5.623413251903491e-6,5.62341325860416e-6,89.99999437658674,2,OPTIMAL,50.0,50.0,0.0,89.99999437658674,10.000005623413244,100.0,-0.0,0.0,19448.889966084935,0.001077196044207085
2,5.623413251903491e-6,5.62341325860416e-6,89.99999437658674,3,OPTIMAL,-0.0,-0.0,200.0,0.0,0.0,500.0,720.0,0.0,19448.889966084935,0.001077196044207085
2,5.623413251903491e-6,5.62341325860416e-6,89.99999437658674,4,OPTIMAL,-0.0,-0.0,22.22222222222222,0.0,0.0,322.22222222222223,800.0,0.0,19448.889966084935,0.001077196044207085
2,5.623413251903491e-6,5.62341325860416e-6,89.99999437658674,5,OPTIMAL,50.0,50.0,0.0,100.0,75.0,25.0,400.0,0.0,19448.889966084935,0.001077196044207085
2,5.623413251903491e-6,5.62341325860416e-6,89.99999437658674,6,OPTIMAL,50.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,19448.889966084935,0.001077196044207085
2,1.0e-5,1.0000000003174137e-5,89.99999,1,OPTIMAL,43.1,-0.0,99.99998888888888,0.0,0.0,199.99998888888888,359.99996,0.0,19448.890804444447,0.0019155555564793758
2,1.0e-5,1.0000000003174137e-5,89.99999,2,OPTIMAL,50.0,50.0,0.0,89.99999,10.000010000000003,100.0,-0.0,0.0,19448.890804444447,0.0019155555564793758
2,1.0e-5,1.0000000003174137e-5,89.99999,3,OPTIMAL,-0.0,-0.0,200.0,0.0,0.0,500.0,720.0,0.0,19448.890804444447,0.0019155555564793758
2,1.0e-5,1.0000000003174137e-5,89.99999,4,OPTIMAL,-0.0,-0.0,22.22222222222222,0.0,0.0,322.22222222222223,800.0,0.0,19448.890804444447,0.0019155555564793758
2,1.0e-5,1.0000000003174137e-5,89.99999,5,OPTIMAL,50.0,50.0,0.0,100.0,75.0,25.0,400.0,0.0,19448.890804444447,0.0019155555564793758
2,1.0e-5,1.0000000003174137e-5,89.99999,6,OPTIMAL,50.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,19448.890804444447,0.0019155555564793758
2,1.778279410038923e-5,1.77827941030273e-5,89.9999822172059,1,OPTIMAL,43.1,-0.0,99.9999802413399,0.0,0.0,199.9999802413399,359.99992886882364,0.0,19448.89229528189,0.0034063929997500964
2,1.778279410038923e-5,1.77827941030273e-5,89.9999822172059,2,OPTIMAL,50.0,50.0,0.0,89.9999822172059,10.000017782794089,100.0,-0.0,0.0,19448.89229528189,0.0034063929997500964
